Name,Sport(s),Address,Booking Link,Amenities/Notes
State Tennis Centre,Tennis,"282 Victoria Park Drive, Burswood WA 6100",https://play.tennis.com.au/StateTennisCentre,"12 hard courts individually lit; contactless Book a Court system; 5 minutes from Perth CBD; ample parking"
Dalkeith Tennis Club,Tennis,"Cnr Victoria Ave and Beatrice Road, Dalkeith WA 6009",https://www.dalkeithtc.com/court-hire/,"Grass and hard courts; day and night hire; online booking system; members play free; competitive rates for public"
Alexander Park Tennis Club,Tennis,"Clyde Road, Menora WA 6050",https://play.tennis.com.au/APTC,"19 grass courts, 6 flood-lit hardcourts, 2 Hotshots grass courts; Club of the Year multiple times; established 1932"
South Perth Tennis Centre,Tennis,"107 Murray Street, Como WA 6152",https://play.tennis.com.au/southperthtenniscentre/Booking,"Grass, synthetic grass, and plexipave courts; pin-pad access; automated lighting; members play free daytime; $15-20/hour non-members"
Fremantle Lawn Tennis Club,Tennis,"Fremantle WA",https://www.tennisfreo.com.au/court-hire/,"5 hard courts available; day $20/hour, night $24/hour; online booking system; PIN code access; members book 14 days advance"
Claremont Lawn Tennis Club,Tennis,"Claremont WA",https://claremonttennis.com.au/book-a-court/,"4 all-weather hard courts, 2 synthetic-turf courts; day and night play; grass courts available during day; online booking"
Loton Park Tennis Club,Tennis,"Cnr Lord Street and Bulwer Street, Perth WA 6000",https://play.tennis.com.au/LotonParkTennisClub,"6 grass courts, 2 flood-lit hard courts; heritage listed venue; LGBTQIA+ managed; grass season Oct-May"
Reabold Tennis Club,Tennis,"Floreat WA",https://reaboldtennis.com.au/tennis-court-hire/,"Plexicushion courts; online Book a Court system; daytime $20/hour non-members; nighttime $25/hour non-members"
Mt Lawley Tennis Club,Tennis,"Mt Lawley WA",https://playtennisperth.com.au/book-a-court,"10 all-weather hard courts; floodlit; day $15/hour, night $20/hour; racquet hire $5/hour; free tennis balls"
Melville Tennis Centre,Tennis,"Melville WA",https://www.melvilletenniscentre.com.au/court-hire/,"Hard and grass courts; online booking required; members book 14 days advance; PIN code access system; competitive rates"
College Park Tennis Court,Tennis,"College Park, Nedlands WA",https://www.spacetoco.com/space/nedlands-wa-college-park-tennis-court,"One court available; casual users free; commercial coaching $18/hour adult, $12/hour junior/senior; lights 5pm-10:30pm"
York Tennis Courts,Tennis,"22 Barker Street, York WA",https://www.spacetoco.com/space/york-wa-tennis-courts,"4 courts within fenced enclosure; spectator area; court lights available; supply own rackets and balls"
Whaleback Tennis & Pickleball Courts,Pickleball/Tennis,"Whaleback Avenue, Parkwood WA",https://www.spacetoco.com/space/parkwood-wa-whaleback-pickleball-and-tennis-courts,"6 courts (4 lit), 4 accommodate pickleball; licensed cafe; function room; racquet and ball hire available; parking"
Mt Lawley Tennis Club - Pickleball,Pickleball,"Mt Lawley WA",https://www.mtlawleytennis.com.au/play/pickleball/,"6 pickleball courts; social sessions Tue/Thu; $12.50/session; TeamReach app booking (code MLTCPB6050); equipment available"
All Things Pickleball - Wanneroo,Pickleball,"Wanneroo Showgrounds, Wanneroo WA",https://allthingspickleball.com.au/pickleball-perth-venues/,"Outdoor courts; Monday and Thursday 6:30-9PM; $10 for 2 hours; equipment provided; ages 8-80 welcome"
All Things Pickleball - Butler,Pickleball,"Community Centre, Butler WA",https://allthingspickleball.com.au/pickleball-perth-venues/,"Tennis courts at Community Centre; Tuesday 6:30-9PM; $10 for 2 hours; equipment provided; TeamReach app booking"
All Things Pickleball - Joondalup,Pickleball,"Bouncer Sports Centre, Joondalup WA",https://allthingspickleball.com.au/pickleball-perth-venues/,"Indoor courts; winter season; $15 for indoor sessions; equipment provided; check website for current season dates"
City of Bayswater - The Rise (Pickleball),Pickleball,"Bayswater WA",https://bayswaterrec.wa.gov.au/the-rise/social-sports-court-hire/,"Social Pickleball program; $10.30-$12.90/session; 10-visit pass available; TeamReach booking; AM and PM sessions"

