Venue Name,Sport(s),Address,Suburb/City,State,Postcode,Booking URL,Description,Amenities,image_urls,Indoor/Outdoor
"Geelong Lawn Tennis Club","tennis, squash, pickleball","Eastern Park Circuit, Geelong VIC 3220","Geelong","VIC","3220","https://www.geelonglawntc.com.au","Home of racquet sports in Geelong region. Tennis, squash, pickleball courts plus gym facilities. Online booking portal available.","indoor, outdoor, parking, changerooms","","both"
"UniActive Sports Hall UOW","basketball, netball","Building 13, University of Wollongong, Northfields Avenue, Keiraville NSW 2522","Keiraville","NSW","2522","https://uniactive.uow.edu.au/","Multi-purpose sports hall for basketball and netball. Bookings essential. Open Monday-Friday 6am-9pm, weekends 9am-5pm.","indoor, changerooms, parking","","indoor"
"Beaton Park Leisure Centre","badminton","Foley Street, Gwynneville NSW 2519","Gwynneville","NSW","2519","https://wollongong.nsw.gov.au/leisurecentres/our-centres/tennis-and-racquet-sports","Table tennis and badminton facilities available for casual hire. Contact for bookings and availability.","indoor, parking, changerooms","","indoor"
"Illawarra Sports Stadium","basketball, netball","Fred Finch Park, Hooka Creek Road, Berkeley NSW 2506","Berkeley","NSW","2506","https://illawarrasportsstadium.com.au/","Sports and recreational facility for the South Coast. Courts bookable online. Check calendar for vacancies.","indoor, parking","","indoor"
"Gold Coast Sports & Leisure Centre","basketball, netball, futsal, badminton","2 Investigator Drive, Carrara QLD 4211","Carrara","QLD","4211","https://www.goldcoast.qld.gov.au/Services/Venues-facilities/Sports-venues/Gold-Coast-Sports-Leisure-Centre","15 multi-use indoor courts across two halls. Hall one has 7 courts with show court capability. Can accommodate up to 5000 spectators.","indoor, parking, wheelchair access, changerooms","","indoor"
"Pimpama Sports Hub Tennis Centre","tennis","101 Pimpama Jacobs Well Road, Pimpama QLD 4209","Pimpama","QLD","4209","https://www.goldcoast.qld.gov.au/Services/Venues-facilities/Sports-venues/Pimpama-Sports-Hub/Pimpama-Sports-Hub-Tennis-Centre","8 competition-sized tennis courts plus kids hot-shots court. Book a court 7 days a week. Part of Pimpama Sports Hub complex.","outdoor, lights, parking","","outdoor"
"KO Tennis Mudgeeraba","tennis","48 Tomewin Street, Mudgeeraba QLD 4213","Mudgeeraba","QLD","4213","https://www.kotennis.com/courts","5 tennis courts including Plexicushion, Rebound Ace and synthetic grass. Online booking system with automated gate entry. Courts bookable up to 2 weeks in advance.","outdoor, lights, parking","","outdoor"
"UniSC Arena","basketball, netball, futsal","90 Sippy Downs Drive, Sippy Downs QLD 4556","Sippy Downs","QLD","4556","https://www.usc.edu.au/sport/unisc-arena","$24 million indoor arena for university, school and community sporting events. Individual courts available for hire. Contact for bookings.","indoor, parking, changerooms, wheelchair access","","indoor"
"UniSC Outdoor Courts","tennis, basketball, netball","90 Sippy Downs Drive, Sippy Downs QLD 4556","Sippy Downs","QLD","4556","https://www.usc.edu.au/sport-and-fitness/outdoor-courts","Two outdoor hard courts for tennis, basketball, netball. Night lighting available. Plus 3x3 basketball court with tile flooring.","outdoor, lights","","outdoor"
"Sunshine Coast Tennis Centre","tennis","47 Buderim Avenue, Maroochydore QLD 4558","Maroochydore","QLD","4558","https://play.tennis.com.au/opencourtsessions/sunshinecoasttenniscentre","Multiple tennis courts available for public booking. Open Court Sessions, Cardio Tennis and Court Hire available. Book online.","outdoor, lights, parking","","outdoor"
"Maroochydore Multi Sports Complex","netball","Fishermans Road, Maroochydore QLD 4558","Maroochydore","QLD","4558","https://www.sunshinecoast.qld.gov.au/experience-sunshine-coast/sports-and-leisure/sports-complexes-and-fields/maroochydore-multi-sports-complex","First-class facility with 20 netball courts available for hire. Has hosted AFL pre-season training camps and major netball events.","outdoor, lights, parking","","outdoor"
"Sunshine Coast Indoor Sports","soccer, netball","4/27 Ida Avenue, Caloundra QLD 4551","Caloundra","QLD","4551","https://sunshinecoastindoorsports.com.au/","Indoor soccer, cricket, netball and beach volleyball. Register as individual or team for weekly fixtures. Online game times and stats.","indoor, parking","","indoor"

