Venue Name,Sport(s),Address,Suburb/City,State,Postcode,Booking URL,Description,Amenities
Truganina Tennis Club,Tennis,73 Alcock Rd,Truganina,VIC,,play.tennis.com.au/TruganinaTennisClub,New six-court facility; two courts shared with general public via online booking.,
St Albans East Tennis Club,Tennis,Corner Main Rd East & Percy St (Errington Reserve),St Albans,VIC,,play.tennis.com.au/StAlbansEastTennisClub/Booking,Community club with public online court hire; keypad gate access.,
Albion Tennis Club (Selwyn Park),Tennis,62 Selwyn St (Selwyn Park),Albion,VIC,,play.tennis.com.au/AlbionTennisClub,Local club at Selwyn Park offering casual Book a Court access.,
Doncaster Tennis Club,Tennis,802 Doncaster Rd (enter via Athenaeum Way),Doncaster,VIC,,play.tennis.com.au/doncastertennisclub/Booking/BookByDate,Twelve courts with automated lights; public Book a Court access with PIN entry.,
Nunawading Tennis Club,Tennis,6 Lane St (Nicoll Park),Blackburn North,VIC,,play.tennis.com.au/nunawadingtennisclub/booking/bookbydate,Seven-court club offering online casual court hire for visitors.,
Blackburn Tennis Club (Morton Park),Tennis,Cnr Central Rd & Blackburn Rd (Morton Park),Blackburn,VIC,,tennisvenues.com.au/venue/blackburn-vic-tc,Community club with lit porous courts; public hire available (contact or online).,
Templestowe Park Tennis Club,Tennis,Corner Porter & Hawtin Sts,Templestowe,VIC,,play.tennis.com.au/TemplestoweParkTennisClub/booking/bookbydate,Seven courts (synthetic clay/grass); public Book a Court with PIN and automated lights.,
Monash Sport – Clayton (Recreation Hall & Games Hall),"Futsal, Indoor Soccer",42 Scenic Blvd (Monash University Clayton),Clayton,VIC,,monash.edu/sport/facilities-and-court-hire/clayton,Multi‑purpose indoor courts with public casual hire including futsal; book online via My Monash Sport.,
La Trobe Sports Stadium (Bundoora),"Futsal, Indoor Soccer","La Trobe Sports Park, Plenty Rd",Bundoora,VIC,,latrobe.edu.au/sport/facilities/bundoora-sports-facilities/la-trobe-sports-park/la-trobe-sports-stadium,Six brand‑new indoor courts with futsal/indoor soccer bookings; casual court hire available.,
RMIT Sports Centre (Bundoora) – Outdoor Futsal Pitches,"Futsal, Soccer (5‑a‑side)",203 McKimmies Rd (RMIT Bundoora),Bundoora,VIC,,rmit.edu.au/about/our-locations-and-facilities/facilities/rmit-sports-centre/precinct-facilities,Three outdoor synthetic futsal pitches with lights; community hire available via RMIT Sport.,
Bundha Sports Centre (Fitzroy North),"Futsal, Indoor Soccer",111 Queens Parade,Fitzroy North,VIC,,futsalforlife.com.au/fitzroy-bundha-sports-centre,Multi‑level community indoor court facility; hosts social futsal with public team registrations.,
Moorabbin Indoor Sports (MITennis),"Futsal, Indoor Soccer, Tennis",2/117 Cochranes Rd,Moorabbin,VIC,,mitennis.com.au,Indoor centre with futsal court and two synthetic tennis courts; online casual court bookings.,
Springers Leisure Centre (Keysborough),"Futsal, Indoor Soccer",400 Cheltenham Rd,Keysborough,VIC,,springersleisurecentre.com.au,Community stadium with multiple indoor courts; casual hire and futsal leagues open to the public.,
