Name,Sport(s),Address,Booking Link,Amenities/Notes
Regent Tennis Club,Tennis,"2A Clyde St (GE Robinson Reserve), Reservoir VIC",https://play.tennis.com.au/regenttennisclub,Historic club with synthetic courts and lights; casual hire when not in club use; upgraded pavilion.
Futsal Oz – Brunswick,Futsal,"407–409 Victoria St, Brunswick VIC",https://futsaloz.com/,Premier futsal stadium; 4 indoor courts with rebound walls; social leagues; casual hire; café and change rooms.
Futsal Oz – Thomastown,Futsal,"391 Settlement Rd, Thomastown VIC",https://futsaloz.com/,Large futsal complex with multiple indoor courts; leagues and casual hire; spectator areas and café.
Futsal Oz – Mt Evelyn,Futsal,"42 Kirkbrae Ave, Mount Evelyn VIC",https://futsaloz.com/,Purpose-built futsal centre in Melbourne’s outer east; several indoor courts; leagues and casual bookings.
Westgate Indoor Sports,"Futsal; Soccer (Indoor)","Cnr Grieve Pde & Dohertys Rd, Altona North VIC",https://westgateindoorsports.com.au/,4 large indoor courts with netted walls; futsal and indoor soccer; equipment provided; licensed café.
Springvale Indoor Sports Centre,"Futsal; Soccer (Indoor)","546 Springvale Rd, Springvale VIC",https://www.springvaleindoorsports.com.au/,Full-size indoor futsal/soccer court; casual hire; competitive leagues; bar and function space.
Action Indoor Sports – Box Hill,"Futsal; Soccer (Indoor)","9 Leslie St, Box Hill VIC",https://www.actionindoorsports.com.au/,Multi-sport indoor centre; futsal; cricket; netball; casual court hire; change rooms and vending.
Action Indoor Sports – Tullamarine,Futsal,"5/62 Garden Dr, Tullamarine VIC",https://www.actionindoorsports.com.au/,Large indoor sports hall with configurable courts; after-work futsal comps; equipment hire; lounge/bar.
Melbourne Sports & Aquatic Centre (MSAC) – Stadium Courts,"Futsal; Soccer (Indoor)","30 Aughtie Dr, Albert Park VIC",https://msac.perfectgym.com.au/clientportal2,10 indoor multipurpose courts (timber); casual hire online; locker rooms; café; spectator seating.
Darebin State Football Centre (DISC),Soccer (Outdoor),"281 Darebin Rd (DISC), Thornbury VIC",https://www.footballvictoria.com.au/,3 FIFA-standard synthetic pitches with lights; elite & community hire; changing facilities and parking.
Knox Regional Football Centre,Soccer (Outdoor),"291 George St, Wantirna South VIC",https://www.footballvictoria.com.au/,1 full-size floodlit synthetic field + nine 5-a-side pitches; modern facility for leagues and casual bookings.
Home of the Matildas – State Football Centre,Soccer (Outdoor),"La Trobe Sports Precinct (Sports Dr), Bundoora VIC",https://www.footballvictoria.com.au/,World-class facility with 5 elite pitches; available for community/corporate hire when not in team use.
Kingston Pickleball Centre,Pickleball (Indoor),"38/107 Wells Rd, Chelsea Heights VIC",https://kingstonpickleball.com.au,Dedicated indoor pickleball venue with 2 courts; social play and court hire; pro-shop on site.
The Jar – South Melbourne,Pickleball (Indoor),"29 White St, South Melbourne VIC",https://thejarpickleball.com.au,Flagship 4-court indoor pickleball club in converted warehouse; court hire; lessons; social events.
PicklePlay (Bentleigh East),Pickleball (Indoor),"1 South Drive (Kingston Centre), Bentleigh East VIC",https://www.pickleplay.com.au,Large indoor facility with 8 courts; all-day sessions; amenities incl. saunas; cold plunge; lounge.
Pickleball Palace,Pickleball (Indoor),"2 Attercliffe Ave, Pascoe Vale VIC",https://pickleballpalace.com.au,Premium 5-court indoor club; café and mezzanine lounge; wellness centre with hot/cold plunge and saunas.
Royal Pickle (Carrum Downs),Pickleball (Indoor),"16/684–700 Frankston–Dandenong Rd, Carrum Downs VIC",https://royalpickle.com.au,3-court indoor pickleball parlour with licensed bar and kitchen; social play; party bookings; leagues.
Elsternwick Park Tennis & Pickleball Centre,"Pickleball; Tennis","464 St Kilda St, Brighton VIC",https://www.bayside.vic.gov.au/,Dual-sport facility; floodlit outdoor courts; pickleball socials and clinics scheduled on certain nights.
Clifton Hill Tennis Club – Pickleball Sessions,Pickleball (Outdoor),"2 Hoddle St, Clifton Hill VIC",https://cliftonhilltc.org.au,Weekly social pickleball sessions on outdoor hard courts; equipment available; visitor bookings welcomed.
Level Up Pickleball,Pickleball (Indoor),"Westfield Knox (425 Burwood Hwy), Wantirna South VIC",https://www.leveluppickleball.com.au,Indoor courts inside a shopping centre; themed nightly play by skill level; pro coach on staff.
Swing & Serve,Pickleball (Outdoor),"906 Plenty Rd (Bundoora Park), Bundoora VIC",https://swingandserve.com.au,Leisure venue with outdoor pickleball courts; court hire (~$45/hr); beer garden; mini-golf and golf simulator.
