Venue Name,Sport(s),Address,Suburb/City,State,Postcode,Booking URL,Description,Amenities
Roy Emerson Tennis Centre,Tennis,"315 Milton Rd, Milton QLD 4064",,,,https://emersontennis.com.au/,6 courts; rebound wall; kiosk; part of Frew Park,
Seido Karate,karate,"174 Barbadoes Street, Christchurch Central, Christchurch, 8011",,,,https://www.trybooking.com/nz/VYX,Christchurch Seido Shibu 60th Anniversary - The Christchurch dojo was founded in 1965. In 1976 Eiko Hanshi Renzie Hanham and Eiko Hanshi Andy Barber joined Kaicho&amp;#39;s nascent World Seido Karate...,
Shaw Park Tennis Centre,Pickleball,"128 Shaw Rd, Wooloowin QLD 4030",,,,https://shawparktennis.com.au/pickleball/,Coaching; social sessions; equipment hire,
Shotokan Karate-do,,13 Pūriri Street,,,,https://shotokantimes.com/2019/08/15/hirokazu-kanazawa-the-life-of-a-shotokan-legend,,
Skate Nelson,roller skating,"Nelson, New Zealand",,,,http://www.skatenelson.nz/parties-private-hires-nelson.html,Parties - Private Hires in Nelson,
Skateland,roller skating,"Auckland, New Zealand",,,,https://www.skateland.co.nz/contact-us/,,
Skatescool Tauranga,roller skating,"2 Roxanne Place, Poike, Tauranga, 3112",,,,https://www.facebook.com/skatescooltauranga,"Skatescool Tauranga. 2,933 likes &#xb7; 1 talking about this. Roller skating classes for kids and adults (contact us for more info, classes run throughout the...",
Snowplanet,skiing,"91 Small Road, Silverdale",,,,https://bookings.snowplanet.co.nz/book,"91 Small Road, Silverdale, Auckland",
SonSk8,skateboard,"Auckland, New Zealand",,,,https://www.sonsk8.co.nz/private-hire,"Explore private hire options at Sonsk8 Indoor Skatepark for parties, 
events, and competitions. Contact us for booking details.",
Sorell Tennis Club,Tennis,Tasmania,,,,https://play.tennis.com.au/SorellTennisClub,Sorell Tennis Club has tennis courts for hire to the public,
South Coogee Reserve,Soccer,Munster WA,,,,https://www.spacetoco.com/space/munster-wa-south-coogee-reserve-2,Cricket and soccer pitch; adjacent clubroom facilities; managed by City of Cockburn,
South Perth Tennis Centre,Tennis,"107 Murray Street, Como WA 6152",,,,https://play.tennis.com.au/southperthtenniscentre/Booking,"Grass, synthetic grass, and plexipave courts; pin-pad access; automated lighting; members play free daytime; $15-20/hour non-members",
Southland Cricket Indoor Facility,cricket,"Gala Street, 9810",,,,https://www.southlandcricket.co.nz/facility-hire,Catch all the action off the field. Subscribe to our newsletter. Stay Updated,
Sports Parc,"Futsal, Pickleball","30 Bishop St, Kelvin Grove QLD 4059",,,,https://sportsparc.com.au/court-hire,Indoor courts; flexible booking; equipment hire,
St Peters Tennis Club,tennis,Palmerston Street,,,,https://www.facebook.com/stpeterstennisclub,"St Peters Tennis Club, Hamilton. 479 likes &#xb7; 1 talking about this &#xb7; 221 were here. Hamilton&#039;s Home of Tennis",
State Tennis Centre,Tennis,"282 Victoria Park Drive, Burswood WA 6100",,,,https://play.tennis.com.au/StateTennisCentre,12 hard courts individually lit; contactless Book a Court system; 5 minutes from Perth CBD; ample parking,
Supa Karts,karting,"Christchurch, New Zealand",,,,https://www.facebook.com/Supakartschch/,"Supa Karts Indoor Raceway, Christchurch. 5,340 likes &#xb7; 22 talking about this &#xb7; 1,690 were here. At Supa Karts - Next Level Racing, thrill-seekers and...",
Swimgym Howick,swimming,"2/1 Fencible Drive, Auckland, 2014",,,,https://www.swimgym.org.nz/form,"Use our SwimBot or Use SwimZing to self-assess, send us a message or phone. This is our self-assessment tool to speed up your enrolment into the Swimgym Programme.",
Swimtastic,swimming,"Auckland, New Zealand",,,,https://www.swimtastic.co.nz/booking-portal-how-to-use,,
Synergy Sports,,44 Portage Road,,,,https://synergysports.co.nz/booking/,"Badminton courts are available at 38 Portage Road, New Lynn on:",
Tauranga Bridge Club,,"252 Ngatai Road, Otūmoetai",,,,https://taurangabridge.helloclub.com/,,
Tawa Pool,swimming,"Wellington, New Zealand",,,,https://wellington.govt.nz/recreation/facilities-and-centres/swimming-pools/pool-rules-and-safety#lane-or-pool-hire,"To keep everyone safe and healthy at the pools, we have rules about the supervision of children, hygiene and illness.",
Te Pai Centre,netball,"31-35 Te Pai Place, Henderson",,,,https://www.tepaicentre.co.nz/blank-2,HOME,
Tepid Baths,swimming,"100 Customs Street West, auckland, 1010",,,,https://www.aucklandleisure.co.nz/css/leisurestyle.css,,
The Football Centre,Soccer (5-a-side),"Osborne Park, Perth WA",,,,https://footballcentre.com.au/group-bookings/,Indoor soccer pitch; venue hire $150/hour; showers and drinks available; equipment provided,
The Gap Tennis Club,Pickleball,"200 Settlement Rd, The Gap QLD 4061",,,,https://thegaptennisclub.com.au/index.php/programs/pickle-ball/,2 dedicated pickleball courts; 4 multi-purpose courts; equipment hire,
The Gravity Well,climbing,"Nelson, New Zealand",,,,https://thegravitywell.gymmasteronline.com/portal/enquiry?session=eyJjb250ZXh0X2NvbXBhbnlpZCI6MiwibGFuZ3VhZ2UiOiJlbl9HQiIsImlwX2FkZHIiOiIxMjEuOTguMjI4LjIxIn0.ZMtLJg.vVoxMsekjkhHLB-clE99rk4oN5g,,
The Peak,basketball,"60 Kimbrae Drive, 3210",,,,https://rototunarec.skedda.com/booking,The Peak - Te Pumanawa o Rototuna online booking system. Powered by skedda.com,
The Remarkables Ski Area,skiing,"Queenstown, New Zealand",,,,https://shop.theremarkables.co.nz/shop/product/336,,
The Thorndon Club,"squash, tennis","4 Katherine Avenue, Thorndon, Wellington, 6011",,,,https://thorndon.helloclub.com/?_gl=1*1kwnnf3*_gcl_au*NzgzNzA0NDY4LjE3MjExMjI2NjA,,
The UMMA Trust - Muslim Youth,,1025,,,,https://www.facebook.com/theummatrust/,"The Umma Trust, Auckland. 1,051 likes &#xb7; 1 was here. The Umma Trust provides a place to gain support and resources for Refugee, migrant and Muslim...",
Three Kings Tennis Pavilion,tennis,"Auckland, New Zealand",,,,mailto:venuehire@aucklandcouncil.govt.nz?Subject=Enquiry%20on%20Three%20Kings%20Tennis%20Pavilion,,
Todd Energy Aquatic Centre,swimming,"8-10 Tisch Avenue, New Plymouth",,,,https://www.npdc.govt.nz/todd-energy-aquatic-centre/facilities/book/,"The Barclay Room at the Todd Energy Aquatic Centre is available for hire. It is suitable for children’s birthday parties or meetings and the chairs and trestle tables are available at no extra charge. A small kitchen contains an instant hot water unit, a microwave and sink with r",
Ulverstone Tennis Club,Tennis,Tasmania,,,,https://play.tennis.com.au/UlverstoneTennisClub,Ulverstone Tennis Club is located right next to the West Ulverstone Beach with 3 plexipave courts (2 with lights) making them usable all year round.,
UQ Sport Tennis Centre,"Tennis, Pickleball","The University of Queensland, Blair Dr, St Lucia QLD 4067",,,,https://uqsport.com.au/venues/tennis-centre/,21 tennis courts; 2 pickleball courts; pro shop; cafe; changerooms,
UWA Recreation and Fitness Centre,Futsal,"35 Stirling Highway, Perth WA 6009",,,,https://www.uwa.edu.au/sport/venue-hire/venue-hire,Indoor soccer courts available; part of comprehensive sports facilities; contact for availability and rates,
Vertical Adventures,climbing,"Auckland, New Zealand",,,,https://verticaladventures.co.nz/booking/,Pricing and booking for Vertical Adventures. Climbing routes for all skill levels! Come and check us out!,
Waiheke Bowling Club,,"Auckland, New Zealand",,,,https://waihekebowlingclub.co.nz/#,"rollber errors. (function() { var rollbarWarnedMigrations = {}; function warnRollbarAboutMigrationError(msg) { if(rollbarWarnedMigrations[msg]) return; rollbarWarnedMigrations[msg] = true; var fullMessage = ""jQuery Migrate Warned: "" + msg; // console.warn(fullMessage); if(Rollbar",
Waikato Equestrian Centre,equestrian,"1340 Pukete Road, 3288",,,,https://horses.net.nz/index.php/the-venue/,Waikato Equestrian Centre Home The Venue Facilities Map About WEC WEC History WCEG Inc Trophies Rules and Policies Riding School Riding School Pony Experience Time (“PET”) Beginner/Lead Rein Foundation Course Farm Rides Lessons Lessons Instructors Pony Trainees School Holidays To,
Waitemata Rugby Football Club,rugby union,"Auckland, New Zealand",,,,https://prodcdn.sporty.co.nz/cms/14713/favicon.png,,
Waterhole Swimming Centre,swimming,"Auckland, New Zealand",,,,https://waterholeswimcentre.kiwi/book-online,Home,
Watsons Oval,Soccer,Spearwood WA,,,,https://www.spacetoco.com/space/spearwood-wa-watsons-oval,Two full size soccer pitches; training standard floodlighting; managed by City of Cockburn,
West End Tennis Club,Tennis,"39 Vulture St, West End QLD 4101",,,,https://www.westendtennisclub.com.au/,Community club; court hire; coaching,
West Harbour Tennis & Pickleball Club,"tennis, pickleball","Auckland, New Zealand",,,,https://clubspark.kiwi/Library/WestHarbourTennisandPickleballClub?command=Proxy&amp;type=Favicons&amp;currentFolder=%2f&amp;fileName=whtcpbfavicom.png&amp;thumbnail=whtcpbfavicom__32x32.png&amp;cache=31536000,,
